categorie,parametre,valeur,univers,horizon_j,n_obs,n_dates,mean_fwd_pct,mean_base_pct,mean_excess_pct,t_absolu,t_excess,hit_rate,hit_rate_base,edge_hit_pts,status
longueur_tendance_short,n_sma,250,BTC,20,218,218,1.9423,5.6943,-3.752,0.71,-1.37,50.92,56.23,-5.31,ok
filtre_pente,variante,long_sans_pente,US500,5,32695,1025,0.2529,0.2755,0.041,2.22,0.72,57.38,54.74,2.64,ok
filtre_pente,variante,long_sans_pente,US500,10,32586,1020,0.5374,0.5687,0.0927,2.71,0.89,59.28,56.07,3.21,ok
filtre_pente,variante,long_sans_pente,US500,20,32451,1010,1.0935,1.1413,0.1899,2.97,1.05,61.13,58.25,2.88,ok
filtre_pente,variante,long_avec_pente,US500,5,30668,1001,0.2436,0.2755,0.0362,2.1,0.61,57.21,54.74,2.47,ok
filtre_pente,variante,long_avec_pente,US500,10,30563,996,0.5261,0.5687,0.0953,2.62,0.89,59.12,56.07,3.05,ok
filtre_pente,variante,long_avec_pente,US500,20,30433,986,1.0666,1.1413,0.208,2.85,1.08,60.96,58.25,2.72,ok
filtre_pente,variante,short_sans_pente,US500,5,19698,1034,0.0269,0.2755,-0.1915,0.23,-2.4,52.47,54.74,-2.27,ok
filtre_pente,variante,short_sans_pente,US500,10,19665,1029,0.1358,0.5687,-0.3199,0.59,-2.12,54.68,56.07,-1.39,ok
filtre_pente,variante,short_sans_pente,US500,20,19489,1019,0.3478,1.1413,-0.5805,0.84,-2.4,54.81,58.25,-3.44,ok
filtre_pente,variante,short_avec_pente,US500,5,17305,1007,0.0195,0.2755,-0.185,0.16,-2.16,52.55,54.74,-2.19,ok
filtre_pente,variante,short_avec_pente,US500,10,17273,1002,0.123,0.5687,-0.309,0.51,-1.9,54.58,56.07,-1.49,ok
filtre_pente,variante,short_avec_pente,US500,20,17113,992,0.2079,1.1413,-0.662,0.45,-2.24,55.16,58.25,-3.08,ok
filtre_pente,variante,long_sans_pente,SPX,5,896,896,0.4167,0.1496,0.2671,3.49,2.24,60.27,55.83,4.44,ok
filtre_pente,variante,long_sans_pente,SPX,10,896,896,0.7653,0.299,0.4663,4.33,2.64,64.29,57.95,6.34,ok
filtre_pente,variante,long_sans_pente,SPX,20,896,896,1.4108,0.6024,0.8084,4.56,2.61,69.75,60.34,9.42,ok
filtre_pente,variante,long_avec_pente,SPX,5,877,877,0.399,0.1496,0.2494,3.25,2.03,60.32,55.83,4.49,ok
filtre_pente,variante,long_avec_pente,SPX,10,877,877,0.7395,0.299,0.4405,4.06,2.42,64.2,57.95,6.25,ok
filtre_pente,variante,long_avec_pente,SPX,20,877,877,1.3788,0.6024,0.7764,4.48,2.53,69.67,60.34,9.33,ok
filtre_pente,variante,short_sans_pente,SPX,5,494,494,0.0072,0.1496,-0.1424,0.05,-0.99,54.05,55.83,-1.78,ok
filtre_pente,variante,short_sans_pente,SPX,10,494,494,0.2393,0.299,-0.0597,0.92,-0.23,56.68,57.95,-1.27,ok
filtre_pente,variante,short_sans_pente,SPX,20,494,494,0.382,0.6024,-0.2204,0.86,-0.49,58.3,60.34,-2.04,ok
filtre_pente,variante,short_avec_pente,SPX,5,449,449,-0.064,0.1496,-0.2136,-0.42,-1.4,51.89,55.83,-3.94,ok
filtre_pente,variante,short_avec_pente,SPX,10,449,449,0.0848,0.299,-0.2143,0.31,-0.79,53.67,57.95,-4.28,ok
filtre_pente,variante,short_avec_pente,SPX,20,449,449,0.2225,0.6024,-0.3799,0.47,-0.8,57.68,60.34,-2.65,ok
filtre_pente,variante,long_sans_pente,BTC,5,261,261,1.2244,1.2904,-0.0659,1.35,-0.07,57.47,54.84,2.63,ok
filtre_pente,variante,long_sans_pente,BTC,10,261,261,2.2769,2.6533,-0.3764,1.45,-0.24,54.79,55.45,-0.66,ok
filtre_pente,variante,long_sans_pente,BTC,20,261,261,4.0976,5.6943,-1.5967,1.85,-0.72,58.62,56.23,2.39,ok
filtre_pente,variante,long_avec_pente,BTC,5,253,253,1.1308,1.2904,-0.1595,1.26,-0.18,58.1,54.84,3.26,ok
filtre_pente,variante,long_avec_pente,BTC,10,253,253,2.1692,2.6533,-0.4841,1.49,-0.33,54.55,55.45,-0.91,ok
filtre_pente,variante,long_avec_pente,BTC,20,253,253,3.9164,5.6943,-1.7779,1.77,-0.81,58.5,56.23,2.27,ok
filtre_pente,variante,short_sans_pente,BTC,5,243,243,0.5582,1.2904,-0.7322,0.64,-0.83,47.33,54.84,-7.52,ok
filtre_pente,variante,short_sans_pente,BTC,10,243,243,1.0016,2.6533,-1.6517,0.67,-1.11,55.56,55.45,0.1,ok
filtre_pente,variante,short_sans_pente,BTC,20,243,243,0.4163,5.6943,-5.278,0.15,-1.9,44.44,56.23,-11.78,ok
filtre_pente,variante,short_avec_pente,BTC,5,172,172,-0.2911,1.2904,-1.5815,-0.29,-1.55,41.86,54.84,-12.98,ok
filtre_pente,variante,short_avec_pente,BTC,10,172,172,-0.0115,2.6533,-2.6648,-0.01,-1.6,52.33,55.45,-3.13,ok
filtre_pente,variante,short_avec_pente,BTC,20,172,172,-0.766,5.6943,-6.4603,-0.27,-2.28,40.7,56.23,-15.53,ok
confirmation,variante,long_brut,US500,5,32695,1025,0.2529,0.2755,0.041,2.22,0.72,57.38,54.74,2.64,ok
confirmation,variante,long_brut,US500,10,32586,1020,0.5374,0.5687,0.0927,2.71,0.89,59.28,56.07,3.21,ok
confirmation,variante,long_brut,US500,20,32451,1010,1.0935,1.1413,0.1899,2.97,1.05,61.13,58.25,2.88,ok
confirmation,variante,long_confirme_close>hautprec,US500,5,1855,531,0.2907,0.2755,0.0455,1.72,0.39,57.47,54.74,2.73,ok
confirmation,variante,long_confirme_close>hautprec,US500,10,1852,530,0.5729,0.5687,0.1027,2.11,0.54,58.75,56.07,2.68,ok
